Feature 1	tx_price	beds	baths	sqft	year_built	lot_size	property_type	exterior_walls	roof	basement	restaurants	groceries	nightlife	cafes	shopping	arts_entertainment	beauty_spas	active_life	median_age	married	college_grad	property_tax	insurance	median_school	num_schools	tx_year	two_and_two	during_recession	property_age	school_score
13.0	289900.0	1.0	1.0	685.0	1960.0	48787.0	Apartment / Condo / Townhouse	Brick		0.0	189.0	13.0	37.0	31.0	102.0	11.0	75.0	64.0	28.0	15.0	86.0	195.0	68.0	8.0	3.0	2005.0	0.0	0.0	45.0	24.0
14.0	535000.0	1.0	1.0	687.0	2008.0	0.0	Apartment / Condo / Townhouse	Wood Siding		0.0	266.0	12.0	54.0	45.0	328.0	35.0	126.0	88.0	28.0	52.0	72.0	421.0	146.0	8.0	3.0	2014.0	0.0	0.0	6.0	24.0
15.0	218000.0	1.0	1.0	689.0	1988.0	0.0	Apartment / Condo / Townhouse	Brick	Composition Shingle	1.0	150.0	6.0	20.0	27.0	329.0	12.0	83.0	46.0	32.0	33.0	92.0	188.0	57.0	10.0	3.0	2009.0	0.0	0.0	21.0	30.0
16.0	400000.0	1.0	1.0	689.0	2008.0	0.0	Apartment / Condo / Townhouse	Wood Siding		0.0	198.0	9.0	38.0	25.0	126.0	12.0	72.0	84.0	29.0	15.0	82.0	276.0	96.0	9.0	3.0	2016.0	0.0	0.0	8.0	27.0
17.0	226000.0	1.0	1.0	690.0	1997.0	0.0	Apartment / Condo / Townhouse	Brick	Composition Shingle	1.0	60.0	3.0	9.0	15.0	156.0	3.0	30.0	12.0	36.0	47.0	83.0	221.0	67.0	8.0	3.0	2008.0	0.0	0.0	11.0	24.0
18.0	363700.0	1.0	1.0	692.0	2007.0	0.0	Apartment / Condo / Townhouse	Brick		0.0	180.0	14.0	37.0	34.0	104.0	13.0	72.0	68.0	36.0	25.0	75.0	302.0	104.0	8.0	3.0	2007.0	0.0	0.0	0.0	24.0
19.0	215000.0	1.0	1.0	698.0	1963.0	0.0	Apartment / Condo / Townhouse	Brick		0.0	31.0	6.0	5.0	8.0	32.0	2.0	19.0	14.0	32.0	60.0	47.0	120.0	42.0	7.0	3.0	2005.0	0.0	0.0	42.0	21.0
20.0	327000.0	1.0	1.0	698.0	2005.0	9686.0	Apartment / Condo / Townhouse	Concrete Block		0.0	146.0	7.0	22.0	20.0	79.0	10.0	49.0	74.0	27.0	21.0	94.0	256.0	88.0	9.0	3.0	2010.0	0.0	1.0	5.0	27.0
21.0	331100.0	1.0	1.0	700.0	2005.0	9686.0	Apartment / Condo / Townhouse	Concrete Block		0.0	146.0	7.0	22.0	20.0	79.0	10.0	49.0	74.0	27.0	21.0	94.0	251.0	87.0	9.0	3.0	2012.0	0.0	1.0	7.0	27.0
22.0	240000.0	1.0	1.0	703.0	1992.0	0.0	Apartment / Condo / Townhouse	Wood	Composition Shingle	1.0	82.0	6.0	7.0	8.0	45.0	6.0	52.0	13.0	30.0	46.0	36.0	139.0	42.0	7.0	3.0	2005.0	0.0	0.0	13.0	21.0
23.0	320000.0	1.0	1.0	704.0	2005.0	0.0	Apartment / Condo / Townhouse	Brick	Composition Shingle	1.0	99.0	8.0	8.0	11.0	103.0	4.0	47.0	34.0	31.0	30.0	99.0	261.0	79.0	8.0	3.0	2007.0	0.0	0.0	2.0	24.0
24.0	290800.0	1.0	1.0	704.0	2006.0	0.0	Apartment / Condo / Townhouse	Brick	Composition Shingle	1.0	99.0	9.0	8.0	11.0	103.0	4.0	46.0	34.0	31.0	30.0	99.0	257.0	78.0	8.0	3.0	2006.0	0.0	0.0	0.0	24.0
25.0	375000.0	1.0	1.0	705.0	1985.0	0.0	Apartment / Condo / Townhouse	Brick		0.0	182.0	10.0	31.0	25.0	103.0	10.0	63.0	83.0	33.0	21.0	99.0	244.0	85.0	9.0	3.0	2005.0	0.0	0.0	20.0	27.0
26.0	377000.0	1.0	1.0	709.0	2005.0	111513.0	Apartment / Condo / Townhouse	Wood Siding		0.0	213.0	13.0	44.0	30.0	108.0	11.0	91.0	88.0	33.0	40.0	96.0	316.0	109.0	5.0	3.0	2008.0	0.0	0.0	3.0	15.0
27.0	262500.0	1.0	1.0	711.0	1944.0	0.0	Apartment / Condo / Townhouse	Brick		0.0	51.0	9.0	6.0	2.0	43.0	18.0	35.0	42.0	36.0	49.0	77.0	201.0	69.0	6.0	3.0	2014.0	0.0	0.0	70.0	18.0
28.0	216250.0	1.0	1.0	712.0	1944.0	0.0	Single-Family	Brick		0.0	53.0	13.0	7.0	3.0	43.0	19.0	43.0	41.0	36.0	23.0	90.0	187.0	64.0	6.0	3.0	2004.0	0.0	0.0	60.0	18.0
29.0	270000.0	1.0	1.0	722.0	1985.0	0.0	Apartment / Condo / Townhouse	Siding (Alum/Vinyl)	Composition Shingle	1.0	101.0	8.0	8.0	11.0	74.0	4.0	30.0	26.0	33.0	48.0	85.0	218.0	66.0	4.0	3.0	2005.0	0.0	0.0	20.0	12.0
30.0	235000.0	1.0	1.0	723.0	2005.0	0.0	Apartment / Condo / Townhouse	Stucco	Other	1.0	102.0	8.0	8.0	11.0	103.0	4.0	47.0	34.0	31.0	30.0	99.0	278.0	85.0	8.0	3.0	2009.0	0.0	0.0	4.0	24.0
31.0	225000.0	1.0	1.0	724.0	1958.0	0.0	Apartment / Condo / Townhouse	Brick		0.0	122.0	11.0	27.0	25.0	183.0	12.0	69.0	36.0	57.0	13.0	83.0	118.0	41.0	6.0	3.0	2009.0	0.0	0.0	51.0	18.0
32.0	370000.0	1.0	1.0	725.0	2006.0	0.0	Apartment / Condo / Townhouse	Wood Siding		0.0	198.0	9.0	38.0	26.0	127.0	11.0	72.0	83.0	36.0	25.0	91.0	306.0	106.0	9.0	3.0	2011.0	0.0	1.0	5.0	27.0
33.0	232000.0	1.0	1.0	736.0	1998.0	0.0	Apartment / Condo / Townhouse	Brick	Composition Shingle	1.0	31.0	3.0	7.0	8.0	77.0	1.0	14.0	11.0	36.0	47.0	83.0	243.0	74.0	8.0	3.0	2008.0	0.0	0.0	10.0	24.0
34.0	281900.0	1.0	1.0	737.0	2000.0	0.0	Apartment / Condo / Townhouse	Brick		1.0	109.0	9.0	7.0	17.0	97.0	5.0	38.0	31.0	32.0	34.0	50.0	229.0	69.0	4.0	3.0	2005.0	0.0	0.0	5.0	12.0
35.0	355000.0	1.0	1.0	740.0	2000.0	0.0	Apartment / Condo / Townhouse	Brick		0.0	201.0	11.0	40.0	28.0	131.0	10.0	73.0	85.0	36.0	25.0	91.0	298.0	103.0	9.0	3.0	2006.0	0.0	0.0	6.0	27.0
36.0	350000.0	1.0	1.0	741.0	2006.0	0.0	Apartment / Condo / Townhouse	Wood Siding		0.0	198.0	9.0	38.0	26.0	127.0	11.0	72.0	83.0	36.0	25.0	91.0	291.0	101.0	9.0	3.0	2009.0	0.0	0.0	3.0	27.0
37.0	231900.0	1.0	1.0	750.0	1964.0	0.0	Apartment / Condo / Townhouse	Brick		0.0	100.0	8.0	9.0	10.0	85.0	9.0	81.0	28.0	35.0	63.0	70.0	118.0	41.0	7.0	3.0	2005.0	0.0	0.0	41.0	21.0
38.0	284000.0	1.0	1.0	755.0	1996.0	0.0	Apartment / Condo / Townhouse	Brick	Composition Shingle	1.0	41.0	5.0	3.0	4.0	46.0	2.0	31.0	16.0	40.0	64.0	77.0	258.0	78.0	10.0	3.0	2012.0	0.0	1.0	16.0	30.0
39.0	255000.0	1.0	1.0	759.0	1959.0	0.0	Apartment / Condo / Townhouse	Brick		0.0	150.0	8.0	37.0	23.0	95.0	10.0	73.0	74.0	31.0	23.0	81.0	190.0	66.0	9.0	3.0	2012.0	0.0	1.0	53.0	27.0
40.0	285850.0	1.0	1.0	759.0	2006.0	0.0	Apartment / Condo / Townhouse	Brick	Composition Shingle	1.0	99.0	9.0	8.0	11.0	103.0	4.0	46.0	34.0	31.0	30.0	99.0	266.0	81.0	8.0	3.0	2006.0	0.0	0.0	0.0	24.0
41.0	249298.0	1.0	1.0	759.0	2012.0	0.0	Apartment / Condo / Townhouse	Siding (Alum/Vinyl)		1.0	49.0	6.0	4.0	5.0	33.0	1.0	17.0	25.0	27.0	38.0	35.0	251.0	76.0	5.0	3.0	2012.0	0.0	1.0	0.0	15.0
42.0	380000.0	1.0	1.0	760.0	1991.0	0.0	Apartment / Condo / Townhouse	Brick		0.0	192.0	17.0	40.0	31.0	112.0	11.0	81.0	77.0	31.0	13.0	84.0	291.0	101.0	8.0	3.0	2011.0	0.0	1.0	20.0	24.0
43.0	244800.0	1.0	1.0	767.0	1944.0	0.0	Apartment / Condo / Townhouse	Brick		0.0	54.0	11.0	7.0	4.0	55.0	16.0	39.0	41.0	34.0	44.0	90.0	190.0	66.0	6.0	3.0	2011.0	0.0	1.0	67.0	18.0
44.0	397400.0	1.0	1.0	771.0	2005.0	111513.0	Apartment / Condo / Townhouse	Wood Siding		0.0	213.0	13.0	44.0	30.0	108.0	11.0	91.0	88.0	33.0	40.0	96.0	345.0	119.0	5.0	3.0	2005.0	0.0	0.0	0.0	15.0
45.0	345000.0	1.0	1.0	781.0	2006.0	0.0	Apartment / Condo / Townhouse	Wood Siding		0.0	54.0	8.0	6.0	3.0	48.0	16.0	37.0	44.0	33.0	35.0	72.0	284.0	98.0	6.0	3.0	2007.0	0.0	0.0	1.0	18.0
46.0	220000.0	1.0	1.0	792.0	1987.0	0.0	Apartment / Condo / Townhouse	Brick	Gravel/Rock	1.0	31.0	5.0	4.0	4.0	33.0	0.0	37.0	11.0	35.0	50.0	82.0	221.0	67.0	8.0	3.0	2009.0	0.0	0.0	22.0	24.0
47.0	279000.0	1.0	1.0	796.0	1986.0	0.0	Apartment / Condo / Townhouse	Concrete Block	Gravel/Rock	1.0	134.0	5.0	22.0	28.0	314.0	7.0	96.0	34.0	64.0	52.0	63.0	286.0	87.0	8.0	3.0	2014.0	0.0	0.0	28.0	24.0
48.0	286900.0	1.0	1.0	797.0	2005.0	0.0	Apartment / Condo / Townhouse	Brick	Composition Shingle	1.0	58.0	3.0	4.0	11.0	166.0	6.0	36.0	9.0	32.0	69.0	70.0	184.0	56.0	7.0	3.0	2006.0	0.0	0.0	1.0	21.0
49.0	220000.0	1.0	1.0	800.0	1985.0	0.0	Apartment / Condo / Townhouse	Brick	Composition Shingle	1.0	18.0	1.0	0.0	3.0	15.0	0.0	5.0	11.0	39.0	64.0	81.0	184.0	56.0	6.0	3.0	2015.0	0.0	0.0	30.0	18.0
50.0	305000.0	1.0	1.0	805.0	1941.0	0.0	Apartment / Condo / Townhouse	Brick		0.0	46.0	8.0	6.0	3.0	51.0	15.0	33.0	37.0	36.0	37.0	80.0	150.0	49.0	4.0	3.0	2005.0	0.0	0.0	64.0	12.0
51.0	409575.0	1.0	1.0	805.0	2005.0	46609.0	Apartment / Condo / Townhouse	Concrete Block		0.0	193.0	10.0	37.0	27.0	133.0	10.0	74.0	86.0	29.0	15.0	82.0	302.0	104.0	9.0	3.0	2006.0	0.0	0.0	1.0	27.0
52.0	300367.0	1.0	1.0	805.0	2007.0	0.0	Apartment / Condo / Townhouse	Concrete Block	Roll Composition	1.0	71.0	13.0	5.0	13.0	31.0	12.0	48.0	28.0	32.0	43.0	63.0	261.0	79.0	5.0	3.0	2007.0	0.0	0.0	0.0	15.0
53.0	230000.0	1.0	1.0	809.0	1965.0	0.0	Apartment / Condo / Townhouse	Brick		0.0	48.0	7.0	3.0	9.0	49.0	2.0	36.0	48.0	40.0	41.0	90.0	172.0	60.0	9.0	3.0	2007.0	0.0	0.0	42.0	27.0
54.0	270000.0	1.0	1.0	810.0	1975.0	0.0	Apartment / Condo / Townhouse	Brick		1.0	78.0	18.0	15.0	15.0	70.0	6.0	45.0	30.0	45.0	47.0	54.0	190.0	58.0	3.0	3.0	2005.0	0.0	0.0	30.0	9.0
55.0	210000.0	1.0	1.0	811.0	1969.0	0.0	Apartment / Condo / Townhouse	Brick		0.0	60.0	12.0	10.0	10.0	76.0	8.0	36.0	37.0	30.0	72.0	34.0	143.0	49.0	4.0	3.0	2011.0	0.0	1.0	42.0	12.0
56.0	366700.0	1.0	1.0	817.0	2004.0	0.0	Apartment / Condo / Townhouse	Brick	Composition Shingle	1.0	124.0	12.0	10.0	15.0	111.0	12.0	65.0	41.0	32.0	32.0	88.0	274.0	83.0	7.0	3.0	2006.0	0.0	0.0	2.0	21.0
57.0	238600.0	1.0	1.0	834.0	1992.0	0.0	Apartment / Condo / Townhouse	Brick		0.0	45.0	12.0	9.0	11.0	28.0	7.0	33.0	20.0	43.0	32.0	66.0	185.0	61.0	2.0	3.0	2013.0	0.0	1.0	21.0	6.0
58.0	284900.0	1.0	1.0	838.0	2007.0	0.0	Apartment / Condo / Townhouse	Concrete Block	Roll Composition	1.0	71.0	13.0	5.0	13.0	31.0	12.0	48.0	28.0	32.0	43.0	63.0	249.0	76.0	5.0	3.0	2008.0	0.0	0.0	1.0	15.0
59.0	253000.0	1.0	1.0	850.0	1974.0	0.0	Apartment / Condo / Townhouse	Brick		0.0	97.0	15.0	11.0	12.0	97.0	2.0	70.0	25.0	32.0	13.0	72.0	146.0	48.0	2.0	3.0	2005.0	0.0	0.0	31.0	6.0
60.0	305000.0	1.0	1.0	850.0	1984.0	0.0	Apartment / Condo / Townhouse	Brick	Gravel/Rock	1.0	66.0	11.0	5.0	11.0	24.0	5.0	50.0	15.0	56.0	24.0	66.0	200.0	61.0	5.0	3.0	2006.0	0.0	0.0	22.0	15.0
61.0	280000.0	1.0	1.0	850.0	1986.0	0.0	Apartment / Condo / Townhouse	Brick	Gravel/Rock	1.0	66.0	11.0	5.0	9.0	28.0	5.0	52.0	14.0	56.0	24.0	66.0	180.0	55.0	5.0	3.0	2005.0	0.0	0.0	19.0	15.0
62.0	411000.0	1.0	1.0	855.0	2006.0	0.0	Apartment / Condo / Townhouse	Wood Siding		0.0	79.0	10.0	11.0	11.0	66.0	6.0	43.0	40.0	36.0	36.0	90.0	298.0	103.0	9.0	3.0	2007.0	0.0	0.0	1.0	27.0
63.0	270900.0	1.0	1.0	856.0	2005.0	0.0	Apartment / Condo / Townhouse	Wood Siding		0.0	65.0	8.0	6.0	7.0	51.0	6.0	33.0	35.0	33.0	16.0	72.0	167.0	58.0	4.0	3.0	2005.0	0.0	0.0	0.0	12.0
64.0	406250.0	1.0	1.0	859.0	2000.0	0.0	Apartment / Condo / Townhouse	Brick		0.0	201.0	11.0	40.0	28.0	131.0	10.0	73.0	85.0	36.0	25.0	91.0	316.0	109.0	9.0	3.0	2006.0	0.0	0.0	6.0	27.0
65.0	365000.0	1.0	1.0	866.0	1989.0	0.0	Apartment / Condo / Townhouse	Brick		0.0	190.0	7.0	34.0	36.0	194.0	12.0	62.0	33.0	32.0	31.0	85.0	277.0	96.0	6.0	3.0	2015.0	0.0	0.0	26.0	18.0
66.0	440000.0	1.0	1.0	879.0	2008.0	0.0	Apartment / Condo / Townhouse	Wood Siding		0.0	198.0	9.0	38.0	25.0	126.0	12.0	72.0	84.0	29.0	15.0	82.0	367.0	127.0	9.0	3.0	2009.0	0.0	0.0	1.0	27.0
67.0	250000.0	1.0	1.0	880.0	1965.0	0.0	Single-Family	Brick		0.0	64.0	8.0	6.0	7.0	51.0	8.0	34.0	33.0	37.0	42.0	57.0	125.0	43.0	4.0	3.0	2005.0	0.0	0.0	40.0	12.0
68.0	350100.0	1.0	1.0	900.0	1947.0	18730.0	Single-Family	Stucco	Composition Shingle	1.0	44.0	15.0	1.0	4.0	51.0	3.0	20.0	5.0	31.0	51.0	47.0	294.0	89.0	4.0	3.0	2006.0	0.0	0.0	59.0	12.0
69.0	250000.0	1.0	1.0	900.0	1965.0	0.0	Apartment / Condo / Townhouse	Brick		0.0	119.0	10.0	26.0	25.0	183.0	13.0	70.0	36.0	57.0	13.0	83.0	198.0	68.0	6.0	3.0	2011.0	0.0	1.0	46.0	18.0
70.0	305000.0	1.0	1.0	902.0	1978.0	0.0	Apartment / Condo / Townhouse	Concrete Block	Gravel/Rock	1.0	167.0	7.0	23.0	29.0	340.0	12.0	113.0	51.0	43.0	64.0	72.0	258.0	78.0	10.0	3.0	2005.0	0.0	0.0	27.0	30.0
71.0	200000.0	1.0	1.0	914.0	1982.0	0.0	Apartment / Condo / Townhouse	Brick	Gravel/Rock	1.0	95.0	18.0	19.0	18.0	92.0	6.0	49.0	21.0	52.0	33.0	53.0	180.0	54.0	3.0	3.0	2007.0	0.0	0.0	25.0	9.0
72.0	371500.0	1.0	1.0	917.0	2007.0	0.0	Apartment / Condo / Townhouse	Concrete Block	Roll Composition	1.0	71.0	13.0	5.0	13.0	31.0	12.0	48.0	28.0	32.0	43.0	63.0	319.0	97.0	5.0	3.0	2013.0	0.0	1.0	6.0	15.0
73.0	270000.0	1.0	1.0	920.0	1978.0	0.0	Apartment / Condo / Townhouse	Brick	Composition Shingle	1.0	33.0	5.0	4.0	5.0	29.0	2.0	21.0	17.0	34.0	66.0	72.0	168.0	51.0	8.0	3.0	2005.0	0.0	0.0	27.0	24.0
74.0	318000.0	1.0	1.0	926.0	1973.0	0.0	Apartment / Condo / Townhouse	Brick		0.0	145.0	7.0	20.0	20.0	83.0	11.0	49.0	73.0	34.0	32.0	49.0	230.0	79.0	7.0	3.0	2008.0	0.0	0.0	35.0	21.0
75.0	408400.0	1.0	1.0	933.0	2005.0	0.0	Single-Family	Stucco	Other	1.0	102.0	8.0	8.0	11.0	103.0	4.0	47.0	34.0	31.0	30.0	99.0	310.0	94.0	8.0	3.0	2005.0	0.0	0.0	0.0	24.0
76.0	325000.0	1.0	1.0	934.0	1993.0	0.0	Apartment / Condo / Townhouse	Stucco	Composition Shingle	1.0	121.0	11.0	10.0	15.0	109.0	13.0	59.0	44.0	52.0	42.0	63.0	180.0	54.0	7.0	3.0	2005.0	0.0	0.0	12.0	21.0
77.0	239000.0	1.0	1.0	945.0	1984.0	0.0	Apartment / Condo / Townhouse	Brick	Composition Shingle	1.0	21.0	3.0	1.0	5.0	28.0	3.0	9.0	13.0	48.0	40.0	59.0	184.0	56.0	7.0	1.0	2007.0	0.0	0.0	23.0	7.0
78.0	367500.0	1.0	1.0	950.0	1986.0	0.0	Apartment / Condo / Townhouse	Brick		0.0	192.0	7.0	34.0	37.0	194.0	10.0	61.0	33.0	45.0	32.0	79.0	345.0	119.0	6.0	3.0	2006.0	0.0	0.0	20.0	18.0
79.0	378000.0	1.0	1.0	961.0	2006.0	0.0	Apartment / Condo / Townhouse	Wood Siding		0.0	54.0	8.0	6.0	3.0	48.0	16.0	37.0	44.0	33.0	35.0	72.0	280.0	97.0	6.0	3.0	2013.0	0.0	1.0	7.0	18.0
80.0	269000.0	1.0	1.0	966.0	1996.0	0.0	Apartment / Condo / Townhouse	Wood	Composition Shingle	1.0	110.0	12.0	10.0	14.0	102.0	12.0	60.0	44.0	52.0	42.0	63.0	241.0	73.0	7.0	3.0	2006.0	0.0	0.0	10.0	21.0
81.0	245000.0	1.0	1.0	999.0	1979.0	0.0	Apartment / Condo / Townhouse	Brick		1.0	88.0	17.0	18.0	18.0	88.0	6.0	47.0	25.0	59.0	54.0	57.0	163.0	49.0	3.0	3.0	2007.0	0.0	0.0	28.0	9.0
82.0	225000.0	1.0	1.0	1005.0	1982.0	0.0	Apartment / Condo / Townhouse	Brick	Gravel/Rock	1.0	66.0	10.0	5.0	10.0	23.0	6.0	49.0	14.0	56.0	24.0	66.0	184.0	56.0	5.0	3.0	2014.0	0.0	0.0	32.0	15.0
83.0	302000.0	1.0	1.0	1014.0	1985.0	0.0	Apartment / Condo / Townhouse	Siding (Alum/Vinyl)	Composition Shingle	1.0	101.0	8.0	8.0	11.0	70.0	4.0	30.0	23.0	33.0	48.0	85.0	284.0	86.0	4.0	3.0	2011.0	0.0	1.0	26.0	12.0
84.0	387900.0	1.0	1.0	1050.0	2005.0	0.0	Apartment / Condo / Townhouse	Stucco	Other	1.0	102.0	8.0	8.0	11.0	103.0	4.0	47.0	34.0	31.0	30.0	99.0	310.0	94.0	8.0	3.0	2005.0	0.0	0.0	0.0	24.0
85.0	560000.0	1.0	1.0	1092.0	1984.0	0.0	Apartment / Condo / Townhouse	Brick	Asphalt	0.0	194.0	6.0	35.0	39.0	193.0	10.0	63.0	35.0	46.0	37.0	90.0	489.0	169.0	6.0	3.0	2007.0	0.0	0.0	23.0	18.0
86.0	750000.0	1.0	1.0	1322.0	2009.0	0.0	Apartment / Condo / Townhouse	Wood Siding		0.0	266.0	10.0	53.0	47.0	320.0	35.0	122.0	94.0	28.0	52.0	72.0	666.0	231.0	8.0	3.0	2012.0	0.0	1.0	3.0	24.0
87.0	299700.0	1.0	2.0	814.0	2008.0	96703.0	Apartment / Condo / Townhouse	Wood Siding	Slate	0.0	75.0	11.0	10.0	8.0	91.0	5.0	53.0	40.0	45.0	60.0	71.0	321.0	93.0	9.0	3.0	2012.0	0.0	1.0	4.0	27.0
88.0	779900.0	1.0	2.0	1207.0	2012.0	0.0	Apartment / Condo / Townhouse	Brick		0.0	164.0	11.0	32.0	31.0	107.0	12.0	62.0	64.0	36.0	25.0	75.0	612.0	212.0	8.0	3.0	2014.0	0.0	0.0	2.0	24.0
89.0	379000.0	1.0	2.0	1489.0	1940.0	0.0	Apartment / Condo / Townhouse	Brick		0.0	37.0	6.0	5.0	4.0	45.0	10.0	24.0	25.0	39.0	41.0	83.0	258.0	89.0	6.0	3.0	2007.0	0.0	0.0	67.0	18.0
90.0	225000.0	2.0	1.0	768.0	1950.0	0.0	Apartment / Condo / Townhouse	Brick	Composition Shingle	1.0	8.0	1.0	0.0	3.0	9.0	2.0	10.0	9.0	35.0	29.0	73.0	192.0	58.0	4.0	3.0	2006.0	0.0	0.0	56.0	12.0
91.0	230000.0	2.0	1.0	793.0	1950.0	0.0	Apartment / Condo / Townhouse	Brick	Composition Shingle	1.0	10.0	1.0	0.0	4.0	10.0	2.0	10.0	10.0	35.0	29.0	73.0	196.0	59.0	4.0	3.0	2004.0	0.0	0.0	54.0	12.0
92.0	328000.0	2.0	1.0	800.0	1950.0	0.0	Apartment / Condo / Townhouse	Brick		0.0	74.0	15.0	13.0	11.0	51.0	18.0	44.0	42.0	33.0	35.0	87.0	219.0	76.0	6.0	3.0	2005.0	0.0	0.0	55.0	18.0
93.0	407800.0	2.0	1.0	803.0	2000.0	33541.0	Apartment / Condo / Townhouse	Wood Siding		0.0	198.0	9.0	38.0	25.0	127.0	11.0	72.0	83.0	36.0	25.0	91.0	309.0	107.0	9.0	3.0	2005.0	0.0	0.0	5.0	27.0
94.0	470630.0	2.0	1.0	814.0	2005.0	9686.0	Apartment / Condo / Townhouse	Concrete Block		0.0	146.0	7.0	22.0	20.0	79.0	10.0	49.0	73.0	27.0	21.0	94.0	313.0	108.0	9.0	3.0	2006.0	0.0	0.0	1.0	27.0
95.0	270000.0	2.0	1.0	816.0	1949.0	3846.0	Single-Family	Brick	Composition Shingle	1.0	43.0	9.0	4.0	6.0	24.0	0.0	21.0	11.0	38.0	63.0	46.0	340.0	103.0	5.0	3.0	2015.0	0.0	0.0	66.0	15.0
96.0	359500.0	2.0	1.0	835.0	1954.0	0.0	Apartment / Condo / Townhouse	Brick		0.0	38.0	9.0	5.0	4.0	51.0	9.0	32.0	29.0	31.0	58.0	93.0	282.0	93.0	4.0	3.0	2009.0	0.0	0.0	55.0	12.0
97.0	355000.0	2.0	1.0	836.0	1994.0	0.0	Apartment / Condo / Townhouse	Brick		0.0	56.0	7.0	9.0	6.0	64.0	6.0	40.0	41.0	36.0	36.0	90.0	265.0	92.0	9.0	3.0	2012.0	0.0	1.0	18.0	27.0
