LotArea,YearBuilt,YearRemodAdd,MasVnrArea,TotalBsmtSF,CentralAir,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,MoSold,YrSold,SalePrice,BldgType_1Fam,BldgType_2FamDuplexTwnhs,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_IDOTRR,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,GarageType_2Types,GarageType_Attchd,GarageType_Basment,GarageType_BuiltIn,GarageType_CarPort,GarageType_Detchd,GarageType_Missing,Siding_AsbShng,Siding_AsphShn,Siding_BrkComm,Siding_BrkFace,Siding_CBlock,Siding_CemntBd,Siding_HdBoard,Siding_ImStucc,Siding_MetalSd,Siding_Plywood,Siding_Stone,Siding_Stucco,Siding_VinylSd,Siding_Wd Sdng,Siding_WdShing
11200,1965,1965,0,1040,1,1040,0,1040,1,0,1,0,3,1,5,0,1965,1,384,2,2008,129500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11924,2005,2006,286,1175,1,1182,1142,2324,1,0,3,0,4,1,11,2,2005,3,736,7,2006,345000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12968,1962,1962,0,912,1,912,0,912,1,0,1,0,2,1,4,0,1962,1,352,9,2008,144000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10652,2006,2007,306,1494,1,1494,0,1494,0,0,2,0,3,1,7,1,2006,3,840,8,2007,279500,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10920,1960,1960,212,1253,1,1253,0,1253,1,0,1,1,2,1,5,1,1960,1,352,5,2008,157000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6120,1929,2001,0,832,1,854,0,854,0,0,1,0,2,1,5,0,1991,2,576,7,2007,132000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11241,1970,1970,180,1004,1,1004,0,1004,1,0,1,0,2,1,5,1,1970,2,480,3,2010,149000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10791,1967,1967,0,0,1,1296,0,1296,0,0,2,0,2,2,6,0,1967,2,516,10,2006,90000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
13695,2004,2004,0,1114,1,1114,0,1114,1,0,1,1,3,1,6,0,2004,2,576,6,2008,159000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7560,1958,1965,0,1029,1,1339,0,1339,0,0,1,0,3,1,6,0,1958,1,294,5,2009,139000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14215,2005,2006,380,1158,1,1158,1218,2376,0,0,3,1,4,1,9,1,2005,3,853,11,2006,325300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7449,1930,1950,0,637,1,1108,0,1108,0,0,1,0,3,1,6,1,1930,1,280,6,2007,139400,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
9742,2002,2002,281,1777,1,1795,0,1795,0,0,2,0,3,1,7,1,2002,2,534,9,2008,230000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4224,1976,1976,0,1040,1,1060,0,1060,1,0,1,0,3,1,6,1,1976,2,572,6,2007,129900,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8246,1968,2001,0,1060,1,1060,0,1060,1,0,1,0,3,1,6,1,1968,1,270,5,2010,154000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
14230,2007,2007,640,1566,1,1600,0,1600,0,0,2,0,3,1,7,1,2007,3,890,7,2009,256300,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7200,1951,2000,0,900,1,900,0,900,0,1,1,0,3,1,5,0,2005,2,576,5,2010,134800,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11478,2007,2008,200,1704,1,1704,0,1704,1,0,2,0,3,1,7,1,2008,3,772,5,2010,306000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16321,1957,1997,0,1484,1,1600,0,1600,1,0,1,0,2,1,6,2,1957,1,319,12,2006,207500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6324,1927,1950,0,520,0,520,0,520,0,0,1,0,1,1,4,0,1920,1,240,5,2008,68500,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8500,1920,1950,0,649,0,649,668,1317,0,0,1,0,3,1,6,0,1920,1,250,7,2008,40000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
8544,1966,2006,0,1228,1,1228,0,1228,0,0,1,1,3,1,6,0,1966,1,271,6,2008,149350,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
11049,2007,2007,0,1234,1,1234,0,1234,0,0,2,0,3,1,7,0,2007,2,484,1,2008,179900,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10552,1959,1959,0,1398,1,1700,0,1700,0,1,1,1,4,1,6,1,1959,2,447,4,2010,165500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7313,2005,2005,246,1561,1,1561,0,1561,1,0,2,0,2,1,6,1,2005,2,556,8,2007,277500,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
13418,2004,2005,132,1117,1,1132,1320,2452,0,0,3,1,4,1,9,1,2004,3,691,9,2006,309000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10859,1994,1995,0,1097,1,1097,0,1097,0,0,1,1,3,1,6,0,1995,2,672,6,2009,145000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8532,1954,1990,650,1297,1,1297,0,1297,0,1,1,0,3,1,5,1,1954,2,498,10,2009,153000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
7922,1953,2007,0,1057,1,1057,0,1057,1,0,1,0,3,1,5,0,1953,1,246,1,2010,109000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6040,1955,1955,0,0,0,1152,0,1152,0,0,2,0,2,2,6,0,2020,0,0,6,2008,82000,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8658,1965,1965,101,1088,1,1324,0,1324,0,0,2,0,3,1,6,1,1965,2,440,12,2006,160000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
16905,1959,1959,0,1350,1,1328,0,1328,0,1,1,1,2,1,5,2,1959,1,308,7,2007,170000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9180,1983,1983,0,840,1,884,0,884,1,0,1,0,2,1,5,0,1983,2,504,12,2007,144000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9200,1975,1980,0,938,1,938,0,938,1,0,1,0,3,1,5,0,1977,1,308,7,2008,130250,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7945,1959,1959,0,1150,1,1150,0,1150,1,0,1,0,3,1,6,0,1959,1,300,5,2006,141000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
7658,2005,2005,412,1752,1,1752,0,1752,1,0,2,0,2,1,6,1,2005,2,576,2,2010,319900,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
12822,2003,2003,0,1434,1,1518,631,2149,1,0,1,1,1,1,6,1,2003,2,670,8,2009,239686,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
11096,2006,2006,0,1656,1,1656,0,1656,0,0,2,0,3,1,7,0,2006,3,826,7,2007,249700,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4456,1920,2008,0,736,1,736,716,1452,0,0,2,0,2,3,8,0,2020,0,0,6,2009,113000,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
7742,1966,1966,0,955,1,955,0,955,1,0,1,0,3,1,6,0,1966,1,386,1,2007,127000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13869,1997,1997,0,794,1,794,676,1470,0,1,2,0,3,1,6,0,1997,2,388,7,2007,177000,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
6240,1934,1950,0,816,1,816,0,1176,0,0,1,0,3,1,6,1,1985,2,528,9,2006,114500,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8472,1963,1963,0,816,0,816,0,816,1,0,1,0,2,1,5,0,1963,2,516,5,2010,110000,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
50271,1981,1987,0,1842,1,1842,0,1842,2,0,0,1,0,1,5,1,1981,3,894,11,2006,385000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7134,1955,1955,0,384,1,1360,0,1360,0,0,1,0,3,1,6,1,1962,2,572,2,2007,130000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
10175,1964,1964,272,1425,1,1425,0,1425,0,0,2,0,3,1,7,1,1964,2,576,7,2008,180500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2645,1999,2000,456,970,1,983,756,1739,1,0,2,1,3,1,7,0,1999,2,480,8,2009,172500,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
11645,2004,2004,0,860,1,860,860,1720,0,0,2,1,3,1,7,0,2004,2,565,8,2006,196500,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
13682,2006,2006,1031,1410,1,1426,1519,2945,0,0,3,1,3,1,10,1,2006,3,641,10,2006,438780,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7200,1972,1972,0,780,1,780,0,780,0,0,1,0,2,1,4,0,1973,1,352,1,2008,124900,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13072,2004,2004,0,1158,1,1158,0,1158,1,0,1,1,3,1,5,0,2006,2,576,5,2006,158000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
7200,1920,1996,0,530,0,581,530,1111,0,0,1,0,3,1,6,0,1935,1,288,3,2007,101000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
6442,2006,2006,178,1370,1,1370,0,1370,0,0,2,0,2,1,6,1,2006,2,484,10,2007,202500,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10300,1921,1950,0,576,1,902,808,1710,0,0,2,0,3,1,9,0,1990,2,480,4,2010,140000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9375,1997,1998,573,1057,1,1057,977,2034,1,0,2,1,3,1,8,0,1998,2,645,2,2009,219500,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
9591,2004,2005,344,1143,1,1143,1330,2473,0,0,2,1,4,1,9,1,2004,3,852,10,2007,317000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
19900,1970,1989,287,1947,1,2207,0,2207,1,0,2,0,3,1,7,1,1970,2,576,7,2010,180000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10665,2003,2003,167,1453,1,1479,0,1479,1,0,2,0,3,1,7,0,2003,2,558,6,2007,226000,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4608,1945,1950,0,747,1,747,0,747,0,0,1,0,2,1,4,0,1945,1,220,6,2010,80000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
15593,1953,1953,0,1304,1,1304,983,2287,0,0,2,0,3,1,7,1,1953,2,667,7,2006,225000,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13651,1973,1973,1115,2223,1,2223,0,2223,1,0,2,0,3,1,8,2,1973,2,516,2,2007,244000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
7599,1982,2006,0,845,1,845,0,845,1,0,1,0,2,1,4,0,1987,2,360,6,2007,129500,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10141,1998,1998,40,832,1,885,833,1718,0,0,2,1,3,1,7,1,1998,2,427,12,2009,185000,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
10200,1954,2003,104,1086,1,1086,0,1086,1,0,1,0,3,1,6,0,1989,2,490,5,2010,144900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
5790,1915,1950,0,840,0,840,765,1605,0,0,2,0,3,2,8,0,1915,1,379,5,2010,107400,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1596,1973,1973,0,462,1,526,462,988,1,0,1,0,2,1,5,0,1973,1,297,11,2009,91000,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
8475,1956,1956,0,952,1,952,0,952,0,0,1,0,2,1,4,0,1956,1,283,4,2008,135750,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8635,1948,2001,0,672,1,1072,213,1285,1,0,1,0,2,1,6,0,1948,1,240,1,2008,127000,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10778,1968,1968,0,1768,0,1768,0,1768,0,0,2,0,4,2,8,0,2020,0,0,4,2010,136500,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
10440,1910,1981,0,440,1,682,548,1230,0,0,1,1,2,1,5,0,1966,2,440,5,2009,110000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13000,1968,1968,576,896,1,1182,960,2142,0,0,2,1,4,1,8,1,1968,1,509,6,2009,193500,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
4500,1998,1998,443,1237,1,1337,0,1337,1,0,2,0,2,1,5,0,1998,2,405,3,2006,153500,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
